url,name,date,country,region,number_of_players
/tournament/BBE7BE65-A334-47A1-A3C5-C7A39DD7ADA5,Prodigy Smash Weekly #124,15 March 2024,,,
/tournament/C5645CCA-27CB-4536-BC63-6221FE1C6ED4,HoG: Phoenix 5.20,14 March 2024,,,
/tournament/869026E6-F5E6-42B1-B305-EC0B1F9A42EB,Buffalo Wild Wednesdays v2.3.2 (Pre-Collision!),13 March 2024,,,
/tournament/1CFC07CA-2067-46EC-8508-3EFF17493C30,One Up Melee 3.13.24,13 March 2024,,,
/tournament/EB45A855-9E2A-4297-BC9B-B2FA9BD6D356,GGRI 1 - Inaugural Event,12 March 2024,,,
/tournament/5C6F30D7-15B3-45BE-B257-9A6A45652535,New Game Plus Revival 5.16,12 March 2024,,,
/tournament/71FDED49-5C21-4E55-9893-DF156118BBD2,Free Play Melee #59,11 March 2024,,,
/tournament/74475828-430D-4168-8CB5-287A62319098,Mass Madness 45 - A New England Melee and Project+ Event!,09 March 2024,,,
/tournament/A7791C19-9DBA-48F1-82F7-3515EFF66287,Milton's Hygrade Melee Melee #3 [NE Only],09 March 2024,/assets/images/country/flag/us.png,/assets/images/country/regions/us/new_york.png,
/tournament/59B26F5A-0A34-4BE4-8E5C-CBD358FC84A7,Pho Tai Melee: $41! - 50% More Soju! Ft. skerzo,08 March 2024,,,
/tournament/B8C681F7-EBBB-4EE5-A144-A6D8D97F83B1,Prodigy Smash Weekly #123,08 March 2024,,,
/tournament/8A773701-9782-46B5-9CCC-FE9A1C531B60,HoG: Phoenix 5.19,07 March 2024,,,
/tournament/CA45E843-1232-4437-BAE9-55810D2526D0,Buffalo Wild Wednesdays v2.3.1,06 March 2024,,,
/tournament/610D6B26-D82C-4034-AFEA-14F0ECD7E7B5,One Up Melee 3.6.24,06 March 2024,,,
/tournament/41AD70E5-3087-482E-9DC3-DFB8E53BD274,New Game Plus Revival 5.15,05 March 2024,,,
/tournament/9FE41DF3-FA48-4927-AE65-13A5429BF44F,Free Play Melee #58,04 March 2024,,,
/tournament/494B0DC7-B669-4E2A-8D81-738C62FFB21D,ESG Melee Weekly #60,03 March 2024,,,
/tournament/2E667D64-E192-40C8-A013-D1093C6E95AE,See Me In Grands #1,03 March 2024,,,
/tournament/F2636A98-FA8D-452A-9304-DEBDE74DFDBA,SmashUMA: Marth Madness,02 March 2024,,,
/tournament/186A833F-3405-4354-9D32-30EDF4256485,SSS 18.4 - A New Hampshire Melee Monthly!,02 March 2024,,,
/tournament/ABEF8B78-D3D9-4F7A-A811-516EF8A28148,Pho Tai Melee: #40! - The Big FOUR-OH,01 March 2024,,,
/tournament/93BCDDAC-998D-4CEF-9A29-D30008700E55,Prodigy Smash Weekly #122,01 March 2024,,,
/tournament/1AF8738A-1F13-4E62-A809-DDE931E58677,HoG: Phoenix 5.18,29 February 2024,,,
