encounter_id,winner_url,winner,loser_url,loser,winner_score,loser_score,winner_rating,loser_rating,new_winner_rating,new_loser_rating
89,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/E5B2C321-A1F7-4630-AE8A-6C5154CFAA7C,bonfire10,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/E5B2C321-A1F7-4630-AE8A-6C5154CFAA7C,bonfire10,bonfire10,3,25.0,25.0,29.39583201999916,20.604167980000835
117,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/4B376D3E-AF9F-401C-A09F-4FA417B3FBC5,Clambering Netizen,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/4B376D3E-AF9F-401C-A09F-4FA417B3FBC5,Clambering Netizen,Clambering Netizen,3,25.0,25.0,29.39583201999916,20.604167980000835
91,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/903E1473-2420-4D37-BD00-D5E4B08DBD1F,OUG | Electroman,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/903E1473-2420-4D37-BD00-D5E4B08DBD1F,OUG | Electroman,OUG | Electroman,3,25.0,25.0,29.39583201999916,20.604167980000835
90,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/4B144262-CF20-4CE7-8A2E-A8F58AB635E9,Comcast | The CoveCare Scare,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/4B144262-CF20-4CE7-8A2E-A8F58AB635E9,Comcast | The CoveCare Scare,Comcast | The CoveCare Scare,3,25.0,25.0,29.39583201999916,20.604167980000835
121,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/906962F5-5DB3-4DDC-AE0F-2D28B17C8DE0,KrillKilla,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/906962F5-5DB3-4DDC-AE0F-2D28B17C8DE0,KrillKilla,KrillKilla,3,25.0,25.0,29.39583201999916,20.604167980000835
122,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/4B376D3E-AF9F-401C-A09F-4FA417B3FBC5,Clambering Netizen,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/4B376D3E-AF9F-401C-A09F-4FA417B3FBC5,Clambering Netizen,Clambering Netizen,3,25.0,25.0,29.39583201999916,20.604167980000835
119,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/33CCFA5E-D301-43DD-A465-AB6BAF109BBB,Raf,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/33CCFA5E-D301-43DD-A465-AB6BAF109BBB,Raf,1,Raf,25.0,25.0,29.39583201999916,20.604167980000835
120,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/04E2AB4E-CB93-44CE-A165-A48889314D5E,Downey,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/04E2AB4E-CB93-44CE-A165-A48889314D5E,Downey,2,Downey,25.0,25.0,29.39583201999916,20.604167980000835
125,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/9532FC9C-736F-448B-834A-D1CC2341C1F9,MG / NHPR | Golden,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/9532FC9C-736F-448B-834A-D1CC2341C1F9,MG / NHPR | Golden,MG / NHPR | Golden,3,25.0,25.0,29.39583201999916,20.604167980000835
93,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/E5B2C321-A1F7-4630-AE8A-6C5154CFAA7C,bonfire10,/tournament/633C3E6E-A97A-45F9-B1B4-1ADA348C350C/player/E5B2C321-A1F7-4630-AE8A-6C5154CFAA7C,bonfire10,bonfire10,3,25.0,25.0,29.39583201999916,20.604167980000835
